Date,Daily cases
2021-12-01,15085
2021-12-02,16806
2021-12-03,17030
2021-12-04,16632
2021-12-05,15021
2021-12-06,9503
2021-12-07,15756
2021-12-08,17959
2021-12-09,12527
2021-12-10,20497
2021-12-11,21042
2021-12-12,19215
2021-12-13,12712
2021-12-14,20677
2021-12-15,23195
2021-12-16,26109
2021-12-17,28632
2021-12-18,28064
2021-12-19,24259
2021-12-20,16213
2021-12-21,30798
2021-12-22,36293
2021-12-23,44595
2021-12-24,50599
2021-12-25,54762
2021-12-26,24883
2021-12-27,30810
2021-12-28,78313
2021-12-29,98030
2021-12-30,126888
2021-12-31,144243
2022-01-01,141358
2022-01-02,61046
2022-01-03,68052
2022-01-04,170844
2022-01-05,189109
2022-01-06,219441
2022-01-07,108304
2022-01-08,197552
2022-01-09,155659
2022-01-10,101762
2022-01-11,220532
2022-01-12,196224
2022-01-13,184615
2022-01-14,186253
2022-01-15,180426
2022-01-16,149512
2022-01-17,83403
